id,name,stage,type,attribute,memory,equip slots,lv50 hp,lv50 sp,lv50 atk,lv50 def,lv50 int,lv50 spd
1,kuramon,baby,free,neutral,2,0,590,77,79,69,68,95
2,pabumon,baby,free,neutral,2,0,950,62,76,76,69,68
3,punimon,baby,free,neutral,2,0,870,50,97,87,50,75
4,botamon,baby,free,neutral,2,0,690,68,77,95,76,61
5,poyomon,baby,free,neutral,2,0,540,98,54,59,95,86
6,koromon,in-training,free,fire,3,0,940,52,109,93,52,76
7,tanemon,in-training,free,plant,3,0,1030,64,85,82,73,69
8,tsunomon,in-training,free,earth,3,0,930,54,107,92,54,76
9,tsumemon,in-training,free,dark,3,0,930,64,108,64,54,93
10,tokomon,in-training,free,neutral,3,0,640,86,76,74,74,103
11,nyaromon,in-training,free,light,3,0,540,107,54,64,103,94
12,pagumon,in-training,free,dark,3,0,550,103,60,63,102,93
13,yokomon,in-training,free,plant,3,0,1040,64,82,82,75,69
14,bukamon,in-training,free,water,3,0,830,93,54,74,103,69
15,motimon,in-training,free,neutral,3,0,1030,63,82,81,78,69
16,wanyamon,in-training,free,wind,3,0,830,82,79,75,75,82
17,agumon,rookie,vaccine,fire,5,1,1030,59,131,103,54,86
18,agumon (blk),rookie,virus,fire,5,1,1020,56,124,108,56,85
19,armadillomon,rookie,free,earth,4,1,1160,85,67,111,65,72
20,impmon,rookie,virus,dark,5,1,530,114,83,65,114,102
21,elecmon,rookie,data,electric,4,1,930,93,82,79,79,90
22,otamamon,rookie,virus,water,4,1,930,105,52,75,113,78
23,gaomon,rookie,data,neutral,5,1,1030,69,118,74,66,101
24,gazimon,rookie,virus,dark,4,1,970,71,123,64,59,102
25,gabumon,rookie,data,fire,5,1,980,88,94,81,79,91
26,gabumon (blk),rookie,virus,fire,5,1,950,83,99,89,74,91
27,guilmon,rookie,virus,fire,5,1,1050,69,133,74,54,101
28,kudamon,rookie,vaccine,light,5,1,590,128,53,74,117,105
29,keramon,rookie,free,dark,5,1,1030,74,123,69,61,101
30,gotsumon,rookie,data,earth,5,1,790,79,93,118,90,72
31,goblimon,rookie,virus,earth,4,1,1050,51,115,110,51,84
32,gomamon,rookie,vaccine,water,5,1,1160,69,93,93,81,79
33,syakomon,rookie,virus,water,4,1,870,100,53,86,112,78
34,solarmon,rookie,vaccine,light,4,1,1030,88,69,108,71,77
35,terriermon,rookie,vaccine,wind,4,1,690,93,84,75,84,112
36,tentomon,rookie,vaccine,plant,4,1,750,79,86,110,93,73
37,toyagumon,rookie,vaccine,neutral,4,1,1110,87,72,112,63,71
38,dorumon,rookie,data,neutral,5,1,1020,65,128,79,56,101
39,hagurumon,rookie,virus,electric,4,1,1090,91,66,110,69,71
40,patamon,rookie,data,wind,4,1,880,93,79,74,92,90
41,hackmon,rookie,data,fire,5,1,1030,59,118,108,63,85
42,palmon,rookie,data,plant,5,1,1140,65,103,90,80,79
43,demidevimon,rookie,virus,dark,4,1,650,87,89,76,89,111
44,biyomon,rookie,vaccine,wind,4,1,830,93,85,79,85,91
45,falcomon,rookie,vaccine,wind,5,1,740,93,94,79,79,113
46,veemon,rookie,free,neutral,5,1,1040,74,130,74,53,101
47,salamon,rookie,vaccine,light,4,1,540,118,59,69,119,97
48,betamon,rookie,virus,water,4,1,870,101,61,76,113,78
49,hawkmon,rookie,free,wind,5,1,690,88,99,79,83,114
50,lalamon,rookie,data,plant,4,1,1100,74,87,87,79,79
51,lucemon,rookie,vaccine,light,14,1,1230,148,59,104,208,119
52,renamon,rookie,data,plant,5,1,930,93,89,74,89,93
53,lopmon,rookie,data,earth,4,1,790,79,103,68,103,85
54,wormmon,rookie,free,plant,4,1,760,76,92,111,90,71
55,icedevimon,champion,virus,water,8,1,990,94,140,89,118,92
56,aquilamon,champion,free,wind,8,1,840,108,109,89,89,143
57,ankylomon,champion,free,earth,6,2,1330,98,89,133,79,79
58,ikkakumon,champion,vaccine,water,8,1,1330,84,118,102,94,90
59,wizardmon,champion,data,dark,8,1,690,138,74,79,143,118
60,woodmon,champion,virus,plant,6,2,1480,74,109,103,89,88
61,exveemon,champion,free,neutral,8,1,1030,118,104,94,94,118
62,angemon,champion,vaccine,light,8,1,940,94,128,89,128,99
63,ogremon,champion,virus,earth,8,1,1230,64,155,118,64,97
64,guardromon,champion,virus,electric,6,2,990,84,108,138,103,79
65,gaogamon,champion,data,wind,8,1,740,108,109,94,99,138
66,kabuterimon,champion,vaccine,plant,6,2,890,89,108,128,116,81
67,shellnumemon,champion,virus,water,6,2,1280,103,79,148,74,79
68,gargomon,champion,vaccine,electric,6,2,1030,103,109,99,89,108
69,garurumon,champion,vaccine,fire,8,1,890,108,99,94,94,138
70,garurumon (blk),champion,virus,fire,8,1,890,108,109,104,79,133
71,kyubimon,champion,data,fire,8,1,740,138,59,84,138,128
72,growlmon,champion,virus,fire,8,1,1180,79,143,113,69,109
73,kurisarimon,champion,free,dark,8,1,1280,84,153,79,64,113
74,greymon,champion,vaccine,fire,8,1,1230,74,148,118,64,104
75,greymon (blue),champion,virus,fire,8,1,1280,74,153,118,59,99
76,clockmon,champion,data,electric,6,2,1030,118,64,101,133,92
77,kuwagamon,champion,virus,plant,6,2,1180,69,153,113,59,99
78,gekomon,champion,virus,water,6,2,1130,123,68,89,128,90
79,geremon,champion,virus,electric,6,2,1380,99,104,128,64,78
80,goldnumemon,champion,virus,light,6,2,1130,124,59,84,143,88
81,cyclonemon,champion,virus,earth,6,2,940,84,131,128,93,81
82,sunflowmon,champion,data,plant,6,2,1180,113,64,89,141,86
83,seadramon,champion,data,water,6,2,1080,118,64,99,134,88
84,geogreymon,champion,vaccine,fire,8,1,1330,89,143,84,64,118
85,sukamon,champion,virus,earth,6,2,1430,98,89,133,69,79
86,starmon,champion,data,neutral,6,2,1080,98,104,109,91,101
87,stingmon,champion,free,plant,8,1,1130,84,143,74,74,133
88,socerimon,champion,vaccine,water,8,1,1030,123,64,93,148,90
89,tankmon,champion,data,electric,6,2,940,84,113,141,98,81
90,tyrannomon,champion,data,fire,6,2,1230,59,148,125,59,97
91,gatomon,champion,vaccine,light,8,1,640,143,69,79,143,123
92,devimon,champion,virus,dark,8,1,990,94,133,84,125,97
93,togemon,champion,data,plant,8,1,1330,84,108,113,93,90
94,dorugamon,champion,data,earth,8,1,1180,84,138,89,69,123
95,nanimon,champion,virus,earth,6,2,1070,84,108,133,98,81
96,numemon,champion,virus,earth,6,2,1380,99,84,138,69,83
97,birdramon,champion,vaccine,fire,8,1,940,113,94,84,109,128
98,bakemon,champion,virus,dark,6,2,590,148,64,74,138,128
99,veedramon,champion,vaccine,wind,8,1,1180,84,138,113,64,114
100,platinumsukamon,champion,virus,neutral,6,2,1380,98,79,138,79,79
101,blackgatomon,champion,virus,dark,8,1,690,133,84,84,133,118
102,vegiemon,champion,virus,plant,6,2,1380,79,113,106,87,88
103,peckmon,champion,vaccine,wind,8,1,790,113,104,84,94,148
104,meramon,champion,data,fire,6,2,1130,69,138,113,79,99
105,frigimon,champion,vaccine,water,6,2,1380,83,103,98,99,90
106,leomon,champion,vaccine,earth,8,1,1180,69,143,123,71,97
107,reppamon,champion,vaccine,light,8,1,790,118,94,99,99,143
108,waspmon,champion,virus,electric,6,2,1180,74,133,99,74,113
109,megakabuterimon,ultimate,vaccine,plant,12,2,1430,115,94,163,109,92
110,antylamon,ultimate,data,neutral,12,2,940,123,124,109,114,168
111,andromon,ultimate,vaccine,electric,12,2,1040,94,133,157,133,95
112,meteormon,ultimate,data,earth,12,2,1090,104,123,163,128,89
113,infermon,ultimate,free,dark,14,1,1330,99,198,89,74,153
114,myotismon,ultimate,virus,dark,14,1,1290,113,148,99,148,110
115,aeroveedramon,ultimate,vaccine,wind,14,1,1430,94,163,99,94,153
116,etemon,ultimate,virus,dark,12,2,1130,133,104,119,129,133
117,angewomon,ultimate,vaccine,light,14,1,890,163,69,94,188,143
118,okuwamon,ultimate,virus,plant,12,2,1330,74,158,158,74,119
119,garudamon,ultimate,vaccine,fire,12,2,1040,123,124,109,129,143
120,gigadramon,ultimate,virus,wind,12,2,1240,94,137,148,113,100
121,cannonbeemon,ultimate,virus,electric,12,2,990,123,129,139,99,143
122,grapleomon,ultimate,vaccine,electric,12,2,1580,89,163,99,79,143
123,cyberdramon,ultimate,vaccine,dark,14,1,1480,81,173,143,79,122
124,shakkoumon,ultimate,free,light,14,1,1530,135,84,158,139,92
125,cherrymon,ultimate,virus,plant,12,2,1630,108,113,133,114,100
126,silphymon,ultimate,free,wind,14,1,1040,138,119,119,124,158
127,superstarmon,ultimate,data,light,12,2,1180,128,122,134,109,120
128,skullgreymon,ultimate,virus,dark,14,1,1230,79,203,153,69,119
129,zudomon,ultimate,vaccine,water,12,2,1630,84,150,128,104,102
130,taomon,ultimate,data,dark,12,2,990,148,69,104,173,138
131,chirinmon,ultimate,vaccine,light,14,1,940,133,124,119,124,168
132,digitamamon,ultimate,data,neutral,12,2,1380,89,128,148,111,102
133,skullmeramon,ultimate,data,fire,12,2,1530,79,183,133,70,113
134,shogungekomon,ultimate,virus,water,12,2,1980,96,113,113,99,97
135,dorugreymon,ultimate,data,fire,14,1,1480,84,161,153,84,116
136,knightmon,ultimate,data,neutral,12,2,1140,109,135,158,123,92
137,datamon,ultimate,virus,electric,12,2,1180,133,74,114,175,102
138,paildramon,ultimate,free,neutral,14,1,1280,133,139,124,109,128
139,panjyamon,ultimate,vaccine,water,12,2,1280,128,124,114,111,126
140,pumpkinmon,ultimate,data,earth,10,3,1480,97,123,108,119,111
141,piximon,ultimate,data,light,12,2,990,123,104,104,134,153
142,blackkingnumemon,ultimate,virus,dark,10,3,1580,113,89,168,89,89
143,bluemeramon,ultimate,virus,fire,12,2,1140,109,148,94,133,119
144,vademon,ultimate,virus,dark,10,3,1130,165,64,94,173,97
145,whamon,ultimate,vaccine,water,12,2,1680,93,123,123,124,100
146,magnaangemon,ultimate,vaccine,light,14,1,1180,143,98,119,163,105
147,machgaogamon,ultimate,data,wind,12,2,1480,89,158,89,89,158
148,mamemon,ultimate,data,earth,10,3,1480,113,111,153,84,97
149,megaseadramon,ultimate,data,water,12,2,1330,138,86,114,158,102
150,megadramon,ultimate,virus,wind,12,2,1430,79,158,148,69,119
151,wargrowlmon,ultimate,virus,fire,14,1,1430,84,178,138,87,116
152,metalgreymon,ultimate,vaccine,fire,14,1,1530,84,168,148,80,113
153,metalgreymon (blue),ultimate,virus,fire,14,1,1670,84,173,143,69,110
154,metaltyrannomon,ultimate,virus,electric,12,2,1090,104,130,178,118,92
155,metalmamemon,ultimate,data,electric,10,3,1040,99,123,153,128,103
156,monzaemon,ultimate,vaccine,neutral,12,2,1580,93,128,118,119,100
157,crowmon,ultimate,vaccine,wind,12,2,890,128,119,104,119,173
158,rizegreymon,ultimate,vaccine,fire,14,1,1530,94,178,109,69,143
159,lilamon,ultimate,data,plant,12,2,1280,148,69,104,168,114
160,rapidmon,ultimate,vaccine,electric,12,2,1180,113,114,109,119,143
161,lillymon,ultimate,data,plant,12,2,890,153,74,94,163,158
162,lucemon fm,ultimate,virus,neutral,22,1,1390,139,163,114,203,139
163,ladydevimon,ultimate,virus,dark,14,1,890,163,99,94,158,143
164,weregarurumon,ultimate,vaccine,earth,12,2,1430,89,178,89,79,153
165,weregarurumon (blk),ultimate,virus,earth,12,2,1480,79,183,104,69,148
166,wisemon,ultimate,virus,dark,12,2,790,168,69,84,198,133
167,alphamon,mega,vaccine,neutral,22,1,1390,128,158,183,158,130
168,ulforceveedramon,mega,vaccine,wind,22,1,1680,129,188,109,104,198
169,ebemon,mega,virus,electric,16,3,1230,178,74,114,198,129
170,imperialdramon dm,mega,free,fire,20,2,1730,143,139,139,139,148
171,imperialdramon fm,mega,free,neutral,20,2,1780,114,198,124,114,153
172,vikemon,mega,free,water,18,3,1780,105,158,143,129,133
173,venommyotismon,mega,virus,dark,20,2,1540,120,193,104,148,138
174,wargreymon,mega,vaccine,fire,20,2,1630,98,193,163,99,140
175,examon,mega,data,wind,22,1,1630,148,174,129,129,153
176,ophanimon,mega,vaccine,light,20,2,840,183,104,164,193,153
177,gaiomon,mega,virus,fire,18,3,1630,99,203,129,94,158
178,chaosgallantmon,mega,virus,dark,22,1,1340,139,178,139,163,144
179,gankoomon,mega,data,fire,22,1,2080,90,188,163,109,138
180,kuzuhamon,mega,data,dark,18,3,1380,163,84,129,193,139
181,grankuwagamon,mega,virus,plant,18,3,1530,88,178,178,89,140
182,groundlocomon,mega,data,electric,18,3,1140,114,144,213,133,128
183,craniamon,mega,vaccine,earth,22,1,1630,143,124,208,134,124
184,kerpymon (good),mega,vaccine,light,20,1,1290,188,94,104,208,158
185,saberleomon,mega,data,wind,18,3,1680,99,228,104,84,163
186,sakuyamon,mega,data,light,18,3,990,178,94,114,188,173
187,jesmon,mega,data,neutral,22,1,1480,119,198,149,114,168
188,shinegreymon,mega,vaccine,light,20,2,1880,114,203,109,84,158
189,justimon,mega,vaccine,light,18,3,1530,99,193,158,99,144
190,kentaurosmon,mega,vaccine,light,22,1,1140,153,139,154,154,183
191,seraphimon,mega,vaccine,light,20,2,1480,162,94,144,198,135
192,megagargomon,mega,vaccine,electric,18,3,1430,132,149,139,119,144
193,tigervespamon,mega,virus,electric,18,3,1630,104,193,114,99,173
194,titamon,mega,virus,earth,18,3,1930,99,183,128,114,129
195,dianamon,mega,data,water,20,1,790,178,89,154,198,183
196,diaboromon,mega,free,dark,20,2,1680,114,243,104,79,173
197,creepymon,mega,virus,dark,22,1,1440,133,183,114,183,140
198,gallantmon,mega,virus,light,22,1,1480,148,149,154,149,148
199,dynasmon,mega,data,wind,22,1,1680,114,213,129,94,178
200,leopardmon,mega,data,light,22,1,990,188,124,114,183,188
201,leopardmon lm,mega,data,earth,25,1,1290,153,159,129,139,218
202,hiandromon,mega,vaccine,electric,18,3,1190,114,153,178,138,124
203,barbamon,mega,virus,dark,22,1,1330,184,84,129,233,133
204,bancholeomon,mega,vaccine,earth,18,3,1630,84,193,188,80,138
205,piedmon,mega,virus,dark,18,3,890,178,129,104,183,163
206,puppetmon,mega,virus,plant,18,3,1140,114,163,163,148,124
207,platinumnumemon,mega,virus,neutral,16,3,1830,132,94,178,109,120
208,blackwargreymon,mega,virus,fire,20,2,1730,93,183,178,89,140
209,princemamemon,mega,data,neutral,16,3,1630,137,104,173,109,130
210,plesiomon,mega,data,water,18,3,1680,153,74,114,188,129
211,herculeskabuterimon,mega,vaccine,plant,18,3,1680,128,114,168,124,124
212,beelzemon,mega,virus,dark,22,1,1680,114,228,119,99,168
213,belphemon sm,mega,virus,dark,22,1,1730,178,89,114,203,139
214,hououmon,mega,vaccine,fire,18,3,1390,173,84,99,193,158
215,magnadramon,mega,vaccine,light,20,2,1880,168,89,124,183,129
216,boltmon,mega,data,electric,18,3,1580,83,198,163,84,140
217,mastemon,mega,vaccine,neutral,22,1,1340,144,173,134,173,149
218,marineangemon,mega,vaccine,water,18,3,1190,198,64,89,203,153
219,minervamon,mega,virus,neutral,20,1,1580,114,208,114,119,168
220,miragegaogamon,mega,data,wind,18,3,1480,114,183,114,109,178
221,machinedramon,mega,virus,electric,18,3,1240,114,173,183,128,124
222,metaletemon,mega,virus,earth,18,3,1630,128,134,188,89,124
223,metalgarurumon,mega,data,water,18,3,1140,143,154,129,129,178
224,metalgarurumon (blk),mega,virus,electric,18,3,1190,128,163,173,133,130
225,metalseadramon,mega,data,water,18,3,1430,148,99,139,168,129
226,rusttyranomon,mega,virus,electric,18,3,1680,83,218,163,74,140
227,leviamon,mega,virus,water,22,1,1730,120,168,158,144,133
228,lilithmon,mega,virus,dark,22,1,940,203,99,104,223,173
229,ravemon,mega,vaccine,wind,18,3,1040,143,139,119,139,203
230,crusadermon,mega,virus,dark,22,1,1240,153,144,139,144,193
231,rosemon,mega,data,plant,18,3,1330,147,144,129,149,144
232,lotosmon,mega,data,plant,18,3,940,188,74,109,213,168
233,imperialdramon pm,ultra,vaccine,light,25,1,1530,158,154,154,154,153
234,omnimon,ultra,vaccine,light,25,1,1680,104,208,168,134,144
235,omnimon zwart,ultra,vaccine,dark,25,1,1490,139,153,193,158,134
236,belphemon rm,ultra,virus,dark,25,0,1780,84,247,168,109,140
237,lucemon sm,ultra,virus,dark,25,0,1490,173,89,124,233,158
238,flamedramon,armor,free,fire,8,3,1130,93,119,99,89,138
239,magnamon,armor,free,earth,22,2,1240,124,168,208,148,124
240,rapidmon (armor),armor,vaccine,light,18,3,1140,114,158,178,158,124
241,kerpymon (blk),mega,virus,dark,20,1,1290,188,94,94,223,153
242,beelzemon bm,mega,virus,dark,25,1,1680,114,238,124,104,178
243,darkdramon,mega,virus,electric,18,3,1580,94,188,148,99,139
244,chaosmon,ultra,vaccine,neutral,25,2,1080,129,318,94,89,188
245,valkyrimon,mega,free,wind,18,3,1330,139,148,129,129,168
246,shinegreymon bm,mega,vaccine,fire,22,2,1980,114,228,104,84,168
247,miragegaogamon bm,mega,data,light,20,2,1440,124,178,104,158,174
248,ravemon bm,mega,vaccine,wind,20,2,1040,133,149,139,144,213
249,rosemon bm,mega,data,plant,20,2,1480,143,149,139,159,143
